User ID,Area code,Location,Gender,YOB,Marital Status,Activity,Budget,Cuisines,Alcohol
1,153,"Upper East Side,NY",Female,2006,Single,Professional,3,Japanese,
2,123,"St. George,NY",Female,1991,Married,Student,3,Indian,
3,122,"Upper West Side,NY",Male,1977,Single,Student,5,Seafood,
4,153,"Upper East Side,NY",Female,1956,Married,Professional,5,Japanese,
5,129,"Central Park,NY",Male,1997,Single,Student,4,Filipino,
6,111,"China Town, NY",Male,1995,Single,Student,5,Seafood,
7,111,"China Town, NY",Female,1977,Married,Professional,5,Indian,
8,153,"Upper East Side,NY",Female,2003,Single,Professional,3,Filipino,
9,107,"Riverdale,NY",Male,1965,Single,Student,5,Italian,
10,129,"Central Park,NY",Male,1995,Single,Student,4,Chinese,
11,123,"St. George,NY",Female,1975,Married,Professional,4,French,
12,123,"St. George,NY",Male,1963,Married,Student,4,Chinese,
13,123,"St. George,NY",Female,2006,Single,Professional,5,Chinese,
14,107,"Riverdale,NY",Male,1980,Single,Student,5,Italian,
15,107,"Riverdale,NY",Male,1956,Married,Student,3,Filipino,
16,153,"Upper East Side,NY",Female,1956,Married,Student,3,French,
17,107,"Riverdale,NY",Male,2007,Single,Student,5,Seafood,
18,153,"Upper East Side,NY",Male,2004,Single,Student,3,Japanese,
19,129,"Central Park,NY",Male,2001,Single,Student,3,Filipino,
20,129,"Central Park,NY",Male,1959,Married,Student,4,Seafood,
21,123,"St. George,NY",Female,2009,Single,Student,3,Indian,
22,153,"Upper East Side,NY",Female,1983,Married,Professional,5,Italian,
23,107,"Riverdale,NY",Female,1971,Married,Professional,5,Chinese,
24,154,"Market City, NY",Male,1974,Divorced,Professional,1,Seafood,
25,129,"Central Park,ny",Male,1963,Single,Professional,3,Indian,
26,123,"St. George,NY",Male,1969,Single,Professional,3,Japanese,
27,129,"Central Park,NY",Female,2001,Single,Student,3,Indian,
28,111,"China Town, NY",Male,2000,Single,Student,5,Indian,
29,154,"Market City, NY",Female,1977,Married,Student,4,French,
30,154,"Market City, NY",Female,1988,Married,Student,5,Seafood,
31,107,"Riverdale,NY",Female,1999,Married,Student,4,Chinese,
32,154,"Market City, MY",Male,1971,Married,Student,1,Indian,
33,122,"Upper West Side,NY",Male,1995,Single,Professional,3,Indian,
34,129,"Central Park,ny",Female,2009,Single,Professional,5,Indian,
35,129,"Central Park,NY",Male,2001,Divorced,Student,1,Japanese,
36,107,"Riverdale,NY",Male,1998,Single,Professional,5,Japanese,
37,154,"Market City, NY",Male,2006,Single,Student,4,Japanese,
38,123,"St. George,NY",Female,1990,Single,Student,5,French,
39,153,"Upper East Side,NY",Male,1987,Married,Student,4,French,
40,123,"St. George,NY",Male,1986,Single,Student,4,Filipino,
41,129,"Central Park,NY",Male,2001,Single,Student,2,Seafood,
42,154,"Market City, NY",Female,1967,Single,Student,5,Filipino,
43,123,"St. George,NY",Male,1985,Married,Student,5,Japanese,
44,129,"Central Park,NY",Male,2000,Single,Student,3,French,
45,123,"St. George,NY",Female,1969,Married,Professional,3,Italian,
46,111,"China Town, NY",Male,1976,Married,Student,3,Chinese,
47,129,"Central Park,ny",Male,1976,Single,Professional,3,French,
48,122,"Upper West Side,NY",Female,1987,Married,Professional,3,Seafood,
49,111,"China Town, NY",Male,1998,Single,Student,3,Seafood,
50,107,"Riverdale,NY",Female,1974,Married,Student,5,Japanese,
51,107,"Riverdale,NY",Female,2007,Single,Student,4,Japanese,
52,153,"Upper East Side,NY",Female,2005,Single,Student,3,Chinese,
53,153,"Upper East Side,NY",Female,1974,Single,Professional,4,Chinese,
54,123,"St. George,NY",Male,1989,Single,Professional,5,Filipino,
55,107,"Riverdale,NY",Female,1958,Single,Professional,5,Filipino,
56,122,"Upper West Side,NY",Female,1991,Single,Professional,4,Filipino,
57,123,"St. George,NY",Female,1981,Divorced,Student,2,Italian,
58,129,"Central Park,ny",Male,1962,Married,Professional,3,Filipino,
59,123,"St. George,NY",Male,1964,Single,Student,5,Japanese,
60,122,"Upper West Side,NY",Male,1959,Married,Professional,5,Italian,
61,129,"Central Park,NY",Female,2003,Single,Student,4,Japanese,
62,122,"Upper West Side,NY",Female,1955,Divorced,Professional,4,Japanese,
63,123,"St. George,NY",Male,2002,Single,Student,4,Japanese,
64,153,"Upper East Side,NY",Female,1989,Married,Student,5,Italian,
65,129,"Central Park,NY",Female,1996,Single,Student,4,Italian,
66,107,"Riverdale,NY",Male,1975,Married,Student,4,French,
